,Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
82,2024-01-05,29.02,29.49,28.75,29.469999,28.203724,33592600,0.0,0.0,,,100.0,100.0,,
83,2024-01-08,29.360001,29.68,29.17,29.58,28.309,32972100,0.0,100.0,,60.0,100.0,0.0,,40.0
84,2024-01-09,29.6,29.860001,29.32,29.4,28.136732,39856900,100.0,0.0,,22.22222222222222,0.0,100.0,,77.77777777777779
85,2024-01-10,29.360001,29.389999,28.879999,28.99,27.74435,37413300,0.0,,,0.0,100.0,,,100.0
86,2024-01-11,28.83,28.92,28.27,28.4,27.179701,46884700,0.0,,,0.0,100.0,,,100.0
87,2024-01-12,28.459999,28.940001,28.440001,28.700001,27.466812,30349700,,100.0,100.0,42.857142857142854,,0.0,0.0,57.14285714285714
88,2024-01-16,28.6,28.719999,28.219999,28.32,27.10314,38826000,100.0,,,100.0,0.0,,,0.0
89,2024-01-17,28.16,28.530001,27.93,28.15,26.940443,33312600,50.0,,,,50.0,,,
90,2024-01-18,28.040001,28.129999,27.6,28.09,26.88302,50321100,50.0,100.0,0.0,20.0,50.0,0.0,100.0,80.0
91,2024-01-19,28.030001,28.379999,27.93,28.280001,27.064859,35313100,100.0,100.0,,0.0,0.0,0.0,,100.0
92,2024-01-22,28.32,28.620001,27.93,28.309999,27.093567,41663900,0.0,100.0,,0.0,100.0,0.0,,100.0
93,2024-01-23,28.440001,28.65,28.15,28.43,27.208414,33466700,,0.0,,50.0,,100.0,,50.0
94,2024-01-24,28.540001,28.780001,28.33,28.33,27.112709,42720700,0.0,66.66666666666666,,0.0,100.0,33.33333333333333,,100.0
95,2024-01-25,27.82,27.92,27.450001,27.469999,26.685278,47605500,,0.0,,50.0,,100.0,,50.0
96,2024-01-26,27.629999,27.91,27.360001,27.469999,26.685278,47073800,,,,100.0,,,,0.0
97,2024-01-29,27.52,27.629999,27.309999,27.48,26.694992,67082700,,50.0,,100.0,,50.0,,0.0
98,2024-01-30,27.889999,28.370001,26.950001,27.02,26.248133,86072400,0.0,,100.0,75.0,100.0,,0.0,25.0
99,2024-01-31,27.17,27.51,26.780001,27.08,26.306419,81192100,,100.0,100.0,50.0,,0.0,0.0,50.0
100,2024-02-01,27.1,27.33,26.73,27.290001,26.51042,53883000,,,0.0,66.66666666666666,,,100.0,33.33333333333333
101,2024-02-02,27.18,27.200001,26.690001,26.93,26.160706,51663800,,,100.0,100.0,,,0.0,0.0
102,2024-02-05,26.940001,26.940001,26.52,26.57,25.810989,42633400,0.0,100.0,,16.666666666666664,100.0,0.0,,83.33333333333334
103,2024-02-08,27.559999,27.690001,27.41,27.57,26.782421,29048400,100.0,0.0,,0.0,0.0,100.0,,100.0
104,2024-02-09,27.559999,27.59,27.379999,27.559999,26.772707,29062700,,100.0,100.0,,,0.0,0.0,
105,2024-02-12,27.540001,28.02,27.52,27.66,26.869852,30323700,50.0,100.0,,33.33333333333333,50.0,0.0,,66.66666666666666
106,2024-02-13,27.540001,27.83,26.860001,26.969999,26.19956,37927500,,,,100.0,,,,0.0
107,2024-02-14,27.01,27.17,26.91,27.110001,26.335564,25270200,,100.0,,50.0,,0.0,,50.0
108,2024-02-15,27.25,27.809999,27.219999,27.51,26.724136,36111600,,50.0,,,,50.0,,
109,2024-02-20,27.610001,28.139999,27.52,27.59,26.801849,34232000,,,,50.0,,,,50.0
110,2024-02-21,27.6,27.68,27.360001,27.67,26.879566,27370600,,50.0,,33.33333333333333,,50.0,,66.66666666666666
111,2024-02-22,27.59,27.700001,27.190001,27.549999,26.762991,31957500,0.0,,0.0,0.0,100.0,,100.0,100.0
112,2024-02-23,27.75,28.09,27.690001,27.76,26.966993,33182600,66.66666666666666,0.0,,100.0,33.33333333333333,100.0,,0.0
113,2024-02-26,27.67,27.67,27.07,27.18,26.403563,45685500,,100.0,100.0,0.0,,0.0,0.0,100.0
114,2024-02-27,27.120001,27.200001,26.809999,26.889999,26.121847,38598400,,100.0,,0.0,,0.0,,100.0
115,2024-02-28,26.959999,27.24,26.82,27.040001,26.267563,31010200,0.0,0.0,,66.66666666666666,100.0,100.0,,33.33333333333333
116,2024-02-29,27.07,27.190001,26.549999,26.559999,25.801273,54643200,20.0,0.0,,100.0,80.0,100.0,,0.0
117,2024-03-01,26.83,26.9,26.51,26.59,25.830418,46213600,,33.33333333333333,,0.0,,66.66666666666666,,100.0
118,2024-03-04,26.299999,26.459999,25.610001,25.889999,25.150414,86777700,100.0,0.0,,33.33333333333333,0.0,100.0,,66.66666666666666
119,2024-03-05,25.870001,26.42,25.690001,26.08,25.334986,73646100,,50.0,0.0,33.33333333333333,,50.0,100.0,66.66666666666666
120,2024-03-06,26.9,27.299999,26.790001,27.190001,26.413277,84919500,100.0,50.0,0.0,50.0,0.0,50.0,100.0,50.0
121,2024-03-07,27.200001,27.32,26.76,26.790001,26.024704,46423800,0.0,100.0,,0.0,100.0,0.0,,100.0
122,2024-03-08,26.879999,27.299999,26.85,27.219999,26.442419,45869300,,0.0,,,,100.0,,
123,2024-03-11,27.309999,28.389999,27.309999,28.370001,27.559568,52600100,,,,20.0,,,,80.0
124,2024-03-12,28.309999,28.34,27.76,28.01,27.209852,48758200,0.0,71.42857142857143,,50.0,100.0,28.57142857142857,,50.0
125,2024-03-13,28.290001,28.690001,28.190001,28.219999,27.413853,39273000,0.0,66.66666666666666,,100.0,100.0,33.33333333333333,,0.0
126,2024-03-14,28.25,28.280001,27.77,28.129999,27.326424,36428000,66.66666666666666,50.0,,33.33333333333333,33.33333333333333,50.0,,66.66666666666666
127,2024-03-15,27.959999,28.280001,27.860001,27.940001,27.141853,75719200,0.0,0.0,,0.0,100.0,100.0,,100.0
128,2024-03-18,28.01,28.030001,27.610001,27.719999,26.928137,36226500,100.0,0.0,,0.0,0.0,100.0,,100.0
129,2024-03-19,27.67,27.780001,27.32,27.629999,26.840708,29026600,100.0,100.0,,88.88888888888889,0.0,0.0,,11.11111111111111
130,2024-03-20,27.48,27.74,27.209999,27.700001,26.908709,34468000,66.66666666666666,80.0,0.0,100.0,33.33333333333333,20.0,100.0,0.0
131,2024-03-21,27.75,28.040001,27.629999,27.66,26.869852,29633700,50.0,0.0,,40.0,50.0,100.0,,60.0
132,2024-03-22,27.469999,27.84,27.34,27.360001,26.578423,28789000,,0.0,,,,100.0,,
133,2024-03-25,27.24,27.48,27.1,27.43,26.646421,31110600,33.33333333333333,0.0,,100.0,66.66666666666666,100.0,,0.0
134,2024-03-26,27.450001,27.629999,27.309999,27.59,26.801849,38220300,0.0,100.0,0.0,25.0,100.0,0.0,100.0,75.0
135,2024-03-27,27.709999,27.940001,27.540001,27.780001,26.986423,34247600,,0.0,,33.33333333333333,,100.0,,66.66666666666666
136,2024-03-28,27.82,28.120001,27.719999,27.75,26.957279,40466700,50.0,50.0,,0.0,50.0,50.0,,100.0
137,2024-04-01,27.76,27.870001,27.58,27.719999,26.928137,26596600,,,,50.0,,,,50.0
138,2024-04-02,27.57,27.75,27.41,27.549999,26.762991,32451500,100.0,,,25.0,0.0,,,75.0
139,2024-04-03,27.51,27.75,27.200001,27.219999,26.442419,36828600,,,,75.0,,,,25.0
140,2024-04-04,27.309999,27.4,26.639999,26.65,25.888702,41922700,100.0,100.0,100.0,50.0,0.0,0.0,0.0,50.0
141,2024-04-05,26.559999,26.700001,26.35,26.66,25.898417,39839500,100.0,66.66666666666666,100.0,100.0,0.0,33.33333333333333,0.0,0.0
142,2024-04-08,26.6,26.82,26.52,26.58,25.820704,24431400,0.0,,,0.0,100.0,,,100.0
